scientificName,canonicalName,aus_native
Macrozamia cardiacensis P.I.Forst. & D.L.Jones,Macrozamia cardiacensis,TRUE
Macrozamia communis L.A.S.Johnson,Macrozamia communis,TRUE
Macrozamia concinna D.L.Jones,Macrozamia concinna,TRUE
Macrozamia conferta D.L.Jones & P.I.Forst.,Macrozamia conferta,TRUE
Macrozamia cranei D.L.Jones & P.I.Forst.,Macrozamia cranei,TRUE
Macrozamia crassifolia P.I.Forst. & D.L.Jones,Macrozamia crassifolia,TRUE
Macrozamia diplomera (F.Muell.) L.A.S.Johnson,Macrozamia diplomera,TRUE
Macrozamia douglasii W.Hill ex F.M.Bailey,Macrozamia douglasii,TRUE
Macrozamia dyeri (F.Muell.) C.A.Gardner,Macrozamia dyeri,TRUE
Macrozamia elegans K.D.Hill & D.L.Jones,Macrozamia elegans,TRUE
Macrozamia fawcettii C.Moore,Macrozamia fawcettii,TRUE
Macrozamia fearnsidei D.L.Jones,Macrozamia fearnsidei,TRUE
Macrozamia flexuosa C.Moore,Macrozamia flexuosa,TRUE
Macrozamia fraseri Miq.,Macrozamia fraseri,TRUE
Macrozamia glaucophylla D.L.Jones,Macrozamia glaucophylla,TRUE
Macrozamia heteromera C.Moore,Macrozamia heteromera,TRUE
Macrozamia humilis D.L.Jones,Macrozamia humilis,TRUE
Macrozamia johnsonii D.L.Jones & K.D.Hill,Macrozamia johnsonii,TRUE
Macrozamia lomandroides D.L.Jones,Macrozamia lomandroides,TRUE
Macrozamia longispina P.I.Forst. & D.L.Jones,Macrozamia longispina,TRUE
Macrozamia lucida L.A.S.Johnson,Macrozamia lucida,TRUE
Macrozamia macdonnellii (F.Muell. ex Miq.) F.Muell. ex A.DC.,Macrozamia macdonnellii,TRUE
Macrozamia machinii P.I.Forst. & D.L.Jones,Macrozamia machinii,TRUE
Macrozamia macleayi Miq.,Macrozamia macleayi,TRUE
Macrozamia miquelii (F.Muell.) A.DC.,Macrozamia miquelii,TRUE
Macrozamia montana K.D.Hill,Macrozamia montana,TRUE
Macrozamia moorei F.Muell.,Macrozamia moorei,TRUE
Macrozamia mountperriensis F.M.Bailey,Macrozamia mountperriensis,TRUE
Macrozamia occidua D.L.Jones & P.I.Forst.,Macrozamia occidua,TRUE
Macrozamia parcifolia P.I.Forst. & D.L.Jones,Macrozamia parcifolia,TRUE
Macrozamia pauli-guilielmi W.Hill & F.Muell.,Macrozamia pauli-guilielmi,TRUE
Macrozamia platyrhachis F.M.Bailey,Macrozamia platyrhachis,TRUE
Macrozamia plurinervia (L.A.S.Johnson) D.L.Jones,Macrozamia plurinervia,TRUE
Macrozamia polymorpha D.L.Jones,Macrozamia polymorpha,TRUE
Macrozamia reducta K.D.Hill & D.L.Jones,Macrozamia reducta,TRUE
Macrozamia riedlei (Fisch. ex Gaudich.) C.A.Gardner,Macrozamia riedlei,TRUE
Macrozamia secunda (Benth.) C.Moore,Macrozamia secunda,TRUE
Macrozamia serpentina D.L.Jones & P.I.Forst.,Macrozamia serpentina,TRUE
Macrozamia spiralis (Salisb.) Miq.,Macrozamia spiralis,TRUE
Macrozamia stenomera L.A.S.Johnson,Macrozamia stenomera,TRUE
Macrozamia viridis D.L.Jones & P.I.Forst.,Macrozamia viridis,TRUE
Equisetum arvense L.,Equisetum arvense,FALSE
Equisetum hyemale L.,Equisetum hyemale,FALSE
Isoetes attenuata C.R.Marsden & Chinnock,Isoetes attenuata,TRUE
Isoetes australis S.Williams,Isoetes australis,TRUE
Isoetes brevicula E.R.L.Johnson,Isoetes brevicula,TRUE
Isoetes caroli E.R.L.Johnson,Isoetes caroli,TRUE
Isoetes coromandelina L.f.,Isoetes coromandelina,TRUE
Isoetes cristata C.R.Marsden & Chinnock,Isoetes cristata,TRUE
Isoetes drummondii A.Braun,Isoetes drummondii,TRUE
Isoetes elatior F.Muell. ex A.Braun,Isoetes elatior,TRUE
Isoetes gunnii A.Braun,Isoetes gunnii,TRUE
Isoetes humilior F.Muell. ex A.Braun,Isoetes humilior,TRUE
Isoetes inflata E.R.L.Johnson,Isoetes inflata,TRUE
Isoetes mongerensis E.R.L.Johnson,Isoetes mongerensis,TRUE
Isoetes muelleri A.Braun,Isoetes muelleri,TRUE
Isoetes pusilla C.R.Marsden & Chinnock,Isoetes pusilla,TRUE
Isoetes tripus A.Braun,Isoetes tripus,TRUE
Huperzia australiana (Herter) Holub,Huperzia australiana,TRUE
Huperzia phlegmarioides (Gaudich.) Rothm.,Huperzia phlegmarioides,TRUE
Huperzia serrata (Thunb.) Trevis.,Huperzia serrata,TRUE
Lycopodiella cernua (L.) Pic.Serm.,Lycopodiella cernua,TRUE
Lycopodiella diffusa (R.Br.) B.Øllg.,Lycopodiella diffusa,TRUE
Lycopodiella lateralis (R.Br.) B.Øllg.,Lycopodiella lateralis,TRUE
Lycopodiella limosa Chinnock,Lycopodiella limosa,TRUE
Lycopodiella serpentina (Kunze) B.Øllg.,Lycopodiella serpentina,TRUE
Lycopodium deuterodensum Herter,Lycopodium deuterodensum,TRUE
Lycopodium fastigiatum R.Br.,Lycopodium fastigiatum,TRUE
Lycopodium scariosum G.Forst.,Lycopodium scariosum,TRUE
Lycopodium volubile G.Forst.,Lycopodium volubile,TRUE
Phlegmariurus carinatus (Desv.) Ching,Phlegmariurus carinatus,TRUE
Phlegmariurus dalhousieanus (Spring) A.R.Field & Bostock,Phlegmariurus dalhousieanus,TRUE
Phlegmariurus filiformis (Sw.) W.H.Wagner,Phlegmariurus filiformis,TRUE
Phlegmariurus lockyeri (D.L.Jones & B.Gray) A.R.Field & Bostock,Phlegmariurus lockyeri,TRUE
Phlegmariurus marsupiiformis (D.L.Jones & B.Gray) A.R.Field & Bostock,Phlegmariurus marsupiiformis,TRUE
Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus phlegmaria,TRUE
Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus squarrosus,TRUE
Phlegmariurus tetrastichoides (A.R.Field & Bostock) A.R.Field & Bostock,Phlegmariurus tetrastichoides,TRUE
Phlegmariurus varius (R.Br.) A.R.Field & Bostock,Phlegmariurus varius,TRUE
Phylloglossum drummondii Kunze,Phylloglossum drummondii,TRUE
Selaginella alutacia Spring,Selaginella alutacia,TRUE
Selaginella andrewsii Jermy & J.S.Holmes,Selaginella andrewsii,TRUE
Selaginella australiensis Baker,Selaginella australiensis,TRUE
Selaginella biformis A.Braun ex Kuhn,Selaginella biformis,FALSE
Selaginella brisbanensis F.M.Bailey,Selaginella brisbanensis,TRUE
Selaginella ciliaris (Retz.) Spring,Selaginella ciliaris,TRUE
Selaginella gracillima (Kunze) Spring ex Salomon,Selaginella gracillima,TRUE
Selaginella kraussiana (Kunze) A.Braun,Selaginella kraussiana,FALSE
Selaginella longiciliata Hieron.,Selaginella longiciliata,TRUE
Selaginella longipinna Warb.,Selaginella longipinna,TRUE
Selaginella plana (Desv.) Hieron.,Selaginella plana,FALSE
Selaginella pygmaea (Kaulf.) Alston,Selaginella pygmaea,TRUE
Selaginella uliginosa (Labill.) Spring,Selaginella uliginosa,TRUE
Selaginella umbrosa Lem. ex Hieron.,Selaginella umbrosa,FALSE
Selaginella vogelii Spring,Selaginella vogelii,FALSE
Selaginella willdenowii (Desv. ex Poir.) Baker,Selaginella willdenowii,FALSE
Aciphylla glacialis (F.Muell.) Benth.,Aciphylla glacialis,TRUE
Aciphylla simplicifolia (F.Muell.) Benth.,Aciphylla simplicifolia,TRUE
Actinotus bellidioides (Hook.f.) Benth.,Actinotus bellidioides,TRUE
Actinotus forsythii Maiden & Betche,Actinotus forsythii,TRUE
Actinotus gibbonsii F.Muell.,Actinotus gibbonsii,TRUE
Actinotus glomeratus Benth.,Actinotus glomeratus,TRUE
Actinotus helianthi Labill.,Actinotus helianthi,TRUE
Actinotus humilis (F.Muell. & Tate) Domin,Actinotus humilis,TRUE
Actinotus laxus Keighery,Actinotus laxus,TRUE
Actinotus leucocephalus Benth.,Actinotus leucocephalus,TRUE
Actinotus minor (Sm.) DC.,Actinotus minor,TRUE
Actinotus moorei F.Muell. ex Rodway,Actinotus moorei,TRUE
Actinotus omnifertilis (F.Muell.) Benth.,Actinotus omnifertilis,TRUE
Actinotus paddisonii R.T.Baker,Actinotus paddisonii,TRUE
Actinotus periculosus Henwood,Actinotus periculosus,TRUE
Actinotus repens Keighery ex Henwood,Actinotus repens,TRUE
Actinotus rhomboideus (Turcz.) Benth.,Actinotus rhomboideus,TRUE
Actinotus schwarzii F.Muell.,Actinotus schwarzii,TRUE
Actinotus suffocatus (Hook.f.) Rodway,Actinotus suffocatus,TRUE
Actinotus superbus O.H.Sarg.,Actinotus superbus,TRUE
Actinotus whicheranus Keighery,Actinotus whicheranus,TRUE
Aegopodium podagraria L.,Aegopodium podagraria,FALSE
Ammi majus L.,Ammi majus,FALSE
Ammi visnaga (L.) Lam.,Ammi visnaga,FALSE
Anethum graveolens L.,Anethum graveolens,FALSE
Anisotome procumbens (F.Muell.) C.J.Webb,Anisotome procumbens,TRUE
Anthriscus caucalis M.Bieb.,Anthriscus caucalis,FALSE
Apium annuum P.S.Short,Apium annuum,TRUE
Apium graveolens L.,Apium graveolens,FALSE
Apium insulare P.S.Short,Apium insulare,TRUE
Apium prostratum Labill. ex Vent.,Apium prostratum,TRUE
Azorella fragosea (F.Muell.) Druce,Azorella fragosea,TRUE
Azorella macquariensis Orchard,Azorella macquariensis,TRUE
Azorella polaris (Hombr. & Jacquinot ex Hook.f.) G.M.Plunkett & A.N.Nicolas,Azorella polaris,TRUE
Azorella selago Hook.f.,Azorella selago,TRUE
Berula erecta (Huds.) Coville,Berula erecta,TRUE
Bifora testiculata (L.) Spreng.,Bifora testiculata,FALSE
Brachyscias verecundus J.M.Hart & Henwood,Brachyscias verecundus,TRUE
Bupleurum glumaceum Sibth. & Sm.,Bupleurum glumaceum,FALSE
Bupleurum lancifolium Hornem.,Bupleurum lancifolium,FALSE
Bupleurum odontites L.,Bupleurum odontites,FALSE
Bupleurum rotundifolium L.,Bupleurum rotundifolium,FALSE
Bupleurum semicompositum L.,Bupleurum semicompositum,FALSE
Capnophyllum africanum (L.) Gaertn.,Capnophyllum africanum,FALSE
Centella asiatica (L.) Urb.,Centella asiatica,TRUE
Centella cordifolia (Hook.f.) Nannf.,Centella cordifolia,TRUE
Centella uniflora (Colenso) Nannf.,Centella uniflora,TRUE
Chlaenosciadium gardneri C.Norman,Chlaenosciadium gardneri,TRUE
Conium maculatum L.,Conium maculatum,FALSE
Coriandrum sativum L.,Coriandrum sativum,FALSE
Crithmum maritimum L.,Crithmum maritimum,FALSE
Cryptotaenia canadensis (L.) DC.,Cryptotaenia canadensis,FALSE
Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson,Cyclospermum leptophyllum,FALSE
Daucus carota L.,Daucus carota,FALSE
"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.",Daucus glochidiatus,TRUE
Dichosciadium ranunculaceum (F.Muell.) Domin,Dichosciadium ranunculaceum,TRUE
Diplaspis cordifolia (Hook.) Hook.f.,Diplaspis cordifolia,TRUE
Diplaspis hydrocotyle Hook.f.,Diplaspis hydrocotyle,TRUE
Diplaspis nivis Van den Borre & Henwood,Diplaspis nivis,TRUE
Eryngium campestre L.,Eryngium campestre,FALSE
Eryngium expansum F.Muell. ex Klatt,Eryngium expansum,TRUE
Eryngium foetidum L.,Eryngium foetidum,FALSE
Eryngium fontanum A.E.Holland & E.J.Thomps.,Eryngium fontanum,TRUE
Eryngium maritimum L.,Eryngium maritimum,FALSE
Eryngium ovinum A.Cunn.,Eryngium ovinum,TRUE
Eryngium paludosum (C.Moore & Betche) P.W.Michael,Eryngium paludosum,TRUE
Eryngium pandanifolium Cham. & Schltdl.,Eryngium pandanifolium,FALSE
Eryngium pinnatifidum Bunge,Eryngium pinnatifidum,TRUE
Eryngium plantagineum F.Muell.,Eryngium plantagineum,TRUE
Eryngium supinum J.M.Black,Eryngium supinum,TRUE
Eryngium vesiculosum Labill.,Eryngium vesiculosum,TRUE
Ferula communis L.,Ferula communis,FALSE
Foeniculum vulgare Mill.,Foeniculum vulgare,FALSE
Gingidia algens (F.Muell.) J.W.Dawson,Gingidia algens,TRUE
Gingidia harveyana (F.Muell.) J.W.Dawson,Gingidia harveyana,TRUE
Gingidia rupicola I.Telford & J.J.Bruhl,Gingidia rupicola,TRUE
Helosciadium nodiflorum (L.) W.D.J.Koch,Helosciadium nodiflorum,FALSE
Homalosciadium homalocarpum (F.Muell.) H.Eichler,Homalosciadium homalocarpum,TRUE
Lilaeopsis brisbanica A.R.Bean,Lilaeopsis brisbanica,TRUE
Lilaeopsis polyantha (Gand.) H.Eichler,Lilaeopsis polyantha,TRUE
Neosciadium glochidiatum (Benth.) Domin,Neosciadium glochidiatum,TRUE
Oenanthe javanica DC.,Oenanthe javanica,TRUE
Oenanthe pimpinelloides L.,Oenanthe pimpinelloides,FALSE
Oreomyrrhis argentea (Hook.f.) Hook.f.,Oreomyrrhis argentea,TRUE
Oreomyrrhis brevipes Mathias & Constance,Oreomyrrhis brevipes,TRUE
Oreomyrrhis ciliata Hook.f.,Oreomyrrhis ciliata,TRUE
Oreomyrrhis eriopoda (DC.) Hook.f.,Oreomyrrhis eriopoda,TRUE
Oreomyrrhis gunnii Mathias & Constance,Oreomyrrhis gunnii,TRUE
Oreomyrrhis pulvinifica F.Muell.,Oreomyrrhis pulvinifica,TRUE
Oreomyrrhis sessiliflora Hook.f.,Oreomyrrhis sessiliflora,TRUE
Oschatzia cuneifolia (F.Muell.) Drude,Oschatzia cuneifolia,TRUE
Oschatzia saxifraga (Hook.f.) Walp.,Oschatzia saxifraga,TRUE
Pastinaca sativa L.,Pastinaca sativa,FALSE
Pentapeltis peltigera (Hook.) Bunge,Pentapeltis peltigera,TRUE
Pentapeltis silvatica (Diels) Domin,Pentapeltis silvatica,TRUE
Petroselinum crispum (Mill.) Fuss,Petroselinum crispum,FALSE
Platysace arnhemica Specht,Platysace arnhemica,TRUE
Platysace cirrosa Bunge,Platysace cirrosa,TRUE
Platysace clelandii (Maiden & Betche) L.A.S.Johnson,Platysace clelandii,TRUE
Platysace commutata (Turcz.) C.Norman,Platysace commutata,TRUE
Platysace compressa (Labill.) C.Norman,Platysace compressa,TRUE
Platysace deflexa (Turcz.) C.Norman,Platysace deflexa,TRUE
Platysace effusa (Turcz.) C.Norman,Platysace effusa,TRUE
Platysace ericoides (Sieber ex Spreng.) C.Norman,Platysace ericoides,TRUE
Platysace filiformis (Bunge) C.Norman,Platysace filiformis,TRUE
Platysace haplosciadia (Benth.) C.Norman,Platysace haplosciadia,TRUE
Platysace heterophylla (Benth.) C.Norman,Platysace heterophylla,TRUE
Platysace juncea (Bunge) C.Norman,Platysace juncea,TRUE
Platysace lanceolata (Labill.) Druce,Platysace lanceolata,TRUE
Platysace linearifolia (Cav.) C.Norman,Platysace linearifolia,TRUE
Platysace maxwellii (F.Muell.) C.Norman,Platysace maxwellii,TRUE
Platysace pendula (Benth.) C.Norman,Platysace pendula,TRUE
Platysace ramosissima (Benth.) C.Norman,Platysace ramosissima,TRUE
Platysace saxatilis Keighery,Platysace saxatilis,TRUE
Platysace stephensonii (Turcz.) C.Norman,Platysace stephensonii,TRUE
Platysace tenuissima (Benth.) C.Norman,Platysace tenuissima,TRUE
Platysace trachymenioides F.Muell.,Platysace trachymenioides,TRUE
Platysace valida (F.Muell.) F.Muell.,Platysace valida,TRUE
Platysace xerophila (E.Pritz.) L.A.S.Johnson,Platysace xerophila,TRUE
Scandix pecten-veneris L.,Scandix pecten-veneris,FALSE
Schoenolaena juncea Bunge,Schoenolaena juncea,TRUE
Tordylium apulum L.,Tordylium apulum,FALSE
Torilis arvensis (Huds.) Link,Torilis arvensis,FALSE
Torilis nodosa (L.) Gaertn.,Torilis nodosa,FALSE
Xanthosia atkinsoniana F.Muell.,Xanthosia atkinsoniana,TRUE
Xanthosia candida (Benth.) Steud.,Xanthosia candida,TRUE
Xanthosia ciliata Hook.,Xanthosia ciliata,TRUE
Xanthosia collina Keighery,Xanthosia collina,TRUE
Xanthosia dissecta Hook.f.,Xanthosia dissecta,TRUE
Xanthosia eichleri J.M.Hart & Henwood,Xanthosia eichleri,TRUE
Xanthosia fruticulosa Benth.,Xanthosia fruticulosa,TRUE
Xanthosia huegelii (Benth.) Steud.,Xanthosia huegelii,TRUE
Xanthosia kochii (E.Pritz.) J.M.Hart & Henwood,Xanthosia kochii,TRUE
Xanthosia leiophylla F.Muell. ex Klatt,Xanthosia leiophylla,TRUE
Xanthosia peduncularis Benth.,Xanthosia peduncularis,TRUE
Xanthosia pilosa Rudge,Xanthosia pilosa,TRUE
Xanthosia rotundifolia DC.,Xanthosia rotundifolia,TRUE
Xanthosia scopulicola J.M.Hart & Henwood,Xanthosia scopulicola,TRUE
Xanthosia singuliflora F.Muell.,Xanthosia singuliflora,TRUE
Xanthosia stellata J.M.Hart & Henwood,Xanthosia stellata,TRUE
Xanthosia tasmanica Domin,Xanthosia tasmanica,TRUE
Xanthosia ternifolia J.M.Hart & Henwood,Xanthosia ternifolia,TRUE
Xanthosia tomentosa A.S.George,Xanthosia tomentosa,TRUE
Xanthosia tridentata DC.,Xanthosia tridentata,TRUE
Aralia spinosa L.,Aralia spinosa,FALSE
Astrotricha asperifolia F.Muell. ex Klatt,Astrotricha asperifolia,TRUE
Astrotricha biddulphiana F.Muell.,Astrotricha biddulphiana,TRUE
Astrotricha brachyandra A.R.Bean,Astrotricha brachyandra,TRUE
Astrotricha cordata A.R.Bean,Astrotricha cordata,TRUE
Astrotricha crassifolia Blakely,Astrotricha crassifolia,TRUE
Astrotricha floccosa DC.,Astrotricha floccosa,TRUE
Astrotricha glabra Domin,Astrotricha glabra,TRUE
Astrotricha hamptonii F.Muell.,Astrotricha hamptonii,TRUE
Astrotricha intermedia A.R.Bean,Astrotricha intermedia,TRUE
Astrotricha latifolia Benth.,Astrotricha latifolia,TRUE
Astrotricha ledifolia DC.,Astrotricha ledifolia,TRUE
Astrotricha linearis A.Cunn. ex Benth.,Astrotricha linearis,TRUE
Astrotricha longifolia Benth.,Astrotricha longifolia,TRUE
Astrotricha obovata Makinson,Astrotricha obovata,TRUE
Astrotricha parvifolia N.A.Wakef.,Astrotricha parvifolia,TRUE
Astrotricha pauciflora A.R.Bean,Astrotricha pauciflora,TRUE
Astrotricha pterocarpa Benth.,Astrotricha pterocarpa,TRUE
Astrotricha roddii Makinson,Astrotricha roddii,TRUE
Astrotricha umbrosa A.R.Bean,Astrotricha umbrosa,TRUE
Cephalaralia cephalobotrys (F.Muell.) Harms,Cephalaralia cephalobotrys,TRUE
Hedera helix L.,Hedera helix,FALSE
Hydrocotyle acutiloba (F.Muell.) N.A.Wakef.,Hydrocotyle acutiloba,TRUE
Hydrocotyle alata A.Rich.,Hydrocotyle alata,TRUE
Hydrocotyle algida N.A.Wakef.,Hydrocotyle algida,TRUE
Hydrocotyle blepharocarpa F.Muell.,Hydrocotyle blepharocarpa,TRUE
Hydrocotyle bonariensis Lam.,Hydrocotyle bonariensis,FALSE
Hydrocotyle callicarpa Bunge,Hydrocotyle callicarpa,TRUE
Hydrocotyle capillaris F.Muell. ex Klatt,Hydrocotyle capillaris,TRUE
Hydrocotyle comocarpa F.Muell.,Hydrocotyle comocarpa,TRUE
Hydrocotyle corynophora F.Muell.,Hydrocotyle corynophora,TRUE
Hydrocotyle crassiuscula Tate,Hydrocotyle crassiuscula,TRUE
Hydrocotyle diantha DC.,Hydrocotyle diantha,TRUE
Hydrocotyle digitata A.R.Bean & Henwood,Hydrocotyle digitata,TRUE
Hydrocotyle dipleura A.R.Bean,Hydrocotyle dipleura,TRUE
Hydrocotyle foveolata H.Eichler,Hydrocotyle foveolata,TRUE
Hydrocotyle geraniifolia F.Muell.,Hydrocotyle geraniifolia,TRUE
Hydrocotyle grammatocarpa F.Muell.,Hydrocotyle grammatocarpa,TRUE
Hydrocotyle hirta R.Br. ex A.Rich.,Hydrocotyle hirta,TRUE
Hydrocotyle hispidula Bunge,Hydrocotyle hispidula,TRUE
Hydrocotyle laxiflora DC.,Hydrocotyle laxiflora,TRUE
Hydrocotyle lemnoides Benth.,Hydrocotyle lemnoides,TRUE
Hydrocotyle medicaginoides Turcz.,Hydrocotyle medicaginoides,TRUE
Hydrocotyle miranda A.R.Bean & Henwood,Hydrocotyle miranda,TRUE
Hydrocotyle muriculata Turcz.,Hydrocotyle muriculata,TRUE
Hydrocotyle muscosa R.Br. ex A.Rich.,Hydrocotyle muscosa,TRUE
Hydrocotyle novae-zeelandiae DC.,Hydrocotyle novae-zeelandiae,TRUE
Hydrocotyle oraria A.R.Bean,Hydrocotyle oraria,TRUE
Hydrocotyle paludosa A.R.Bean,Hydrocotyle paludosa,TRUE
Hydrocotyle pedicellosa F.Muell. ex Benth.,Hydrocotyle pedicellosa,TRUE
Hydrocotyle pilifera Turcz.,Hydrocotyle pilifera,TRUE
Hydrocotyle plebeya R.Br. ex A.Rich.,Hydrocotyle plebeya,TRUE
Hydrocotyle pterocarpa F.Muell.,Hydrocotyle pterocarpa,TRUE
Hydrocotyle ranunculoides L.f.,Hydrocotyle ranunculoides,FALSE
Hydrocotyle rivularis H.Eichler ex Henwood,Hydrocotyle rivularis,TRUE
Hydrocotyle rugulosa Turcz.,Hydrocotyle rugulosa,TRUE
Hydrocotyle scutellifera Benth.,Hydrocotyle scutellifera,TRUE
Hydrocotyle sibthorpioides Lam.,Hydrocotyle sibthorpioides,TRUE
Hydrocotyle striata Benth.,Hydrocotyle striata,TRUE
Hydrocotyle tetragonocarpa Bunge,Hydrocotyle tetragonocarpa,TRUE
Hydrocotyle trachycarpa F.Muell.,Hydrocotyle trachycarpa,TRUE
Hydrocotyle tripartita R.Br. ex A.Rich.,Hydrocotyle tripartita,TRUE
Hydrocotyle tumida A.R.Bean & Henwood,Hydrocotyle tumida,TRUE
Hydrocotyle verticillata Thunb.,Hydrocotyle verticillata,TRUE
Mackinlaya confusa Hemsl.,Mackinlaya confusa,TRUE
Mackinlaya macrosciadea (F.Muell.) F.Muell.,Mackinlaya macrosciadea,TRUE
Meryta angustifolia (Endl.) Seem.,Meryta angustifolia,TRUE
Meryta latifolia (Endl.) Seem.,Meryta latifolia,TRUE
Motherwellia haplosciadea F.Muell.,Motherwellia haplosciadea,TRUE
Polyscias australiana (F.Muell.) Philipson,Polyscias australiana,TRUE
Polyscias bellendenkerensis (F.M.Bailey) Philipson,Polyscias bellendenkerensis,TRUE
Polyscias cissodendron (C.Moore & F.Muell.) Harms,Polyscias cissodendron,TRUE
Polyscias elegans (C.Moore & F.Muell.) Harms,Polyscias elegans,TRUE
Polyscias fruticosa (L.) Harms,Polyscias fruticosa,FALSE
Polyscias macgillivrayi (Seem.) Harms,Polyscias macgillivrayi,TRUE
Polyscias mollis (Benth.) Harms,Polyscias mollis,TRUE
Polyscias murrayi (F.Muell.) Harms,Polyscias murrayi,TRUE
Polyscias nodosa (Blume) Seem.,Polyscias nodosa,TRUE
Polyscias purpurea C.T.White,Polyscias purpurea,TRUE
Polyscias sambucifolia (Sieber ex DC.) Harms,Polyscias sambucifolia,TRUE
Polyscias scutellaria (Burm.f.) Fosberg,Polyscias scutellaria,TRUE
Polyscias spectabilis (Harms) Lowry & G.M.Plunkett,Polyscias spectabilis,TRUE
Polyscias willmottii (F.Muell.) Philipson,Polyscias willmottii,TRUE
Polyscias zippeliana (Miq.) Valeton,Polyscias zippeliana,TRUE
Pseudopanax gunnii (Hook.f.) K.Koch,Pseudopanax gunnii,TRUE
Schefflera actinophylla (Endl.) Harms,Schefflera actinophylla,TRUE
Schefflera arboricola (Hayata) Merr.,Schefflera arboricola,FALSE
Schefflera bractescens Ridl.,Schefflera bractescens,TRUE
Schefflera elliptica (Blume) Harms,Schefflera elliptica,TRUE
Tetrapanax papyrifer (Hook.) K.Koch,Tetrapanax papyrifer,FALSE
Trachymene anisocarpa (Turcz.) B.L.Burtt,Trachymene anisocarpa,TRUE
Trachymene bialata (Domin) B.L.Burtt,Trachymene bialata,TRUE
Trachymene bivestita (Domin) L.A.S.Johnson,Trachymene bivestita,TRUE
Trachymene ceratocarpa (W.Fitzg.) Keighery & Rye,Trachymene ceratocarpa,TRUE
Trachymene clivicola Boyland & A.E.Holland,Trachymene clivicola,TRUE
Trachymene coerulea Graham,Trachymene coerulea,TRUE
Trachymene composita (Domin) B.L.Burtt,Trachymene composita,TRUE
Trachymene croniniana (F.Muell.) T.Durand & B.D.Jacks.,Trachymene croniniana,TRUE
Trachymene cussonii (Montrouz.) B.L.Burtt,Trachymene cussonii,TRUE
Trachymene cyanantha Boyland,Trachymene cyanantha,TRUE
Trachymene cyanopetala (F.Muell.) Benth.,Trachymene cyanopetala,TRUE
Trachymene dendrothrix Maconochie,Trachymene dendrothrix,TRUE
Trachymene didiscoides (F.Muell.) B.L.Burtt,Trachymene didiscoides,TRUE
Trachymene dusenii (Domin) F.M.Bailey,Trachymene dusenii,TRUE
Trachymene elachocarpa (F.Muell.) B.L.Burtt,Trachymene elachocarpa,TRUE
Trachymene geraniifolia F.M.Bailey,Trachymene geraniifolia,TRUE
Trachymene gilleniae (Tate) B.L.Burtt,Trachymene gilleniae,TRUE
Trachymene glandulosa (F.Muell.) Benth.,Trachymene glandulosa,TRUE
Trachymene glaucifolia (F.Muell.) Benth.,Trachymene glaucifolia,TRUE
Trachymene grandis (Turcz.) Rye,Trachymene grandis,TRUE
