scientificName,canonicalName,aus_native
Cycas angulata R.Br.,Cycas angulata,TRUE
Cycas arenicola K.D.Hill,Cycas arenicola,TRUE
Cycas armstrongii Miq.,Cycas armstrongii,TRUE
Cycas arnhemica K.D.Hill,Cycas arnhemica,TRUE
Cycas badensis K.D.Hill,Cycas badensis,TRUE
Cycas basaltica C.A.Gardner,Cycas basaltica,TRUE
Cycas brunnea K.D.Hill,Cycas brunnea,TRUE
Cycas cairnsiana F.Muell.,Cycas cairnsiana,TRUE
Cycas calcicola Maconochie,Cycas calcicola,TRUE
Cycas canalis K.D.Hill,Cycas canalis,TRUE
Cycas candida K.D.Hill,Cycas candida,TRUE
Cycas conferta Chirgwin,Cycas conferta,TRUE
Cycas couttsiana K.D.Hill,Cycas couttsiana,TRUE
Cycas cupida P.I.Forst.,Cycas cupida,TRUE
Cycas desolata P.I.Forst.,Cycas desolata,TRUE
Cycas furfuracea W.Fitzg.,Cycas furfuracea,TRUE
Cycas lane-poolei C.A.Gardner,Cycas lane-poolei,TRUE
Cycas maconochiei Chirgwin & K.D.Hill,Cycas maconochiei,TRUE
Cycas media R.Br.,Cycas media,TRUE
Cycas megacarpa K.D.Hill,Cycas megacarpa,TRUE
Cycas ophiolitica K.D.Hill,Cycas ophiolitica,TRUE
Cycas orientis K.D.Hill,Cycas orientis,TRUE
Cycas platyphylla K.D.Hill,Cycas platyphylla,TRUE
Cycas pruinosa Maconochie,Cycas pruinosa,TRUE
Cycas rumphii Miq.,Cycas rumphii,TRUE
Cycas scratchleyana F.Muell.,Cycas scratchleyana,TRUE
Cycas semota K.D.Hill,Cycas semota,TRUE
Cycas silvestris K.D.Hill,Cycas silvestris,TRUE
Cycas terryana P.I.Forst.,Cycas terryana,TRUE
Cycas tuckeri K.D.Hill,Cycas tuckeri,TRUE
Cycas xipholepis K.D.Hill,Cycas xipholepis,TRUE
Cycas yorkiana K.D.Hill,Cycas yorkiana,TRUE
Bowenia serrulata (W.Bull) Chamb.,Bowenia serrulata,TRUE
Bowenia spectabilis Hook. ex Hook.f.,Bowenia spectabilis,TRUE
Lepidozamia hopei (W.Hill) Regel,Lepidozamia hopei,TRUE
Lepidozamia peroffskyana Regel,Lepidozamia peroffskyana,TRUE
